traj_id,cell_id,cell_names
300,2247,"C44:46"
370,1794,"C35:43"
281,726,"C14:25"
351,567,"C11:16"
363,753,"C15:2"
294,495,"C9:44"
271,360,"C7:9"
278,2414,"C48:13"
206,1424,"C28:23"
252,761,"C15:10"
313,113,"C2:12"
378,1485,"C29:34"
399,1769,"C35:18"
229,1635,"C32:34"
365,1769,"C35:18"
248,1224,"C24:23"
226,1224,"C24:23"
285,2395,"C47:44"
288,233,"C4:32"
279,1218,"C24:17"
210,2166,"C43:15"
314,1818,"C36:17"
380,1945,"C38:44"
307,1278,"C25:27"
338,2388,"C47:37"
242,1406,"C28:5"
312,312,"C6:11"
366,2071,"C41:20"
326,778,"C15:27"
345,603,"C12:2"
367,1198,"C23:47"
369,1386,"C27:35"
259,1384,"C27:33"
350,638,"C12:37"
324,2353,"C47:2"
320,1956,"C39:5"
378,1535,"C30:34"
302,2346,"C46:45"
217,134,"C2:33"
285,2345,"C46:44"
299,60,"C1:9"
251,2343,"C46:42"
359,339,"C6:38"
266,339,"C6:38"
208,548,"C10:47"
234,431,"C8:30"
239,431,"C8:30"
254,1726,"C34:25"
318,1610,"C32:9"
292,2330,"C46:29"
218,1376,"C27:25"
354,395,"C7:44"
288,183,"C3:32"
315,2321,"C46:20"
353,1104,"C22:3"
206,1374,"C27:23"
343,2029,"C40:28"
375,1959,"C39:8"
395,534,"C10:33"
332,1115,"C22:14"
207,1321,"C26:20"
260,1163,"C23:12"
388,145,"C2:44"
341,1142,"C22:41"
293,55,"C1:4"
342,2292,"C45:41"
296,703,"C14:2"
215,324,"C6:23"
220,414,"C8:13"
255,181,"C3:30"
272,2246,"C44:45"
236,826,"C16:25"
397,826,"C16:25"
238,623,"C12:22"
202,1239,"C24:38"
295,1672,"C33:21"
337,2484,"C49:33"
264,2110,"C42:9"
279,1268,"C25:17"
321,1458,"C29:7"
240,226,"C4:25"
277,1671,"C33:20"
228,1787,"C35:36"
223,2103,"C42:2"
348,742,"C14:41"
250,465,"C9:14"
283,1274,"C25:23"
381,2135,"C42:34"
263,1045,"C20:44"
394,746,"C14:45"
275,748,"C14:47"
211,1914,"C38:13"
329,1225,"C24:24"
373,567,"C11:16"
395,484,"C9:33"
280,11,"C0:10"
218,1426,"C28:25"
305,2071,"C41:20"
374,238,"C4:37"
201,577,"C11:26"
291,663,"C13:12"
376,2235,"C44:34"
258,93,"C1:42"
212,215,"C4:14"
391,1254,"C25:3"
384,2452,"C49:1"
265,1204,"C24:3"
303,236,"C4:35"
287,1615,"C32:14"
246,620,"C12:19"
245,842,"C16:41"
379,469,"C9:18"
274,598,"C11:47"
336,409,"C8:8"
309,2137,"C42:36"
306,2359,"C47:8"
237,2452,"C49:1"
267,2487,"C49:36"
355,703,"C14:2"
313,163,"C3:12"
322,663,"C13:12"
351,566,"C11:15"
356,445,"C8:44"
204,1980,"C39:29"
372,598,"C11:47"
325,1852,"C37:1"
400,2359,"C47:8"
270,598,"C11:47"
275,798,"C15:47"
349,264,"C5:13"
335,2185,"C43:34"
233,598,"C11:47"
386,95,"C1:44"
390,2175,"C43:24"
301,1809,"C36:8"
256,1104,"C22:3"
268,1606,"C32:5"
247,1410,"C28:9"
213,1568,"C31:17"
396,55,"C1:4"
352,638,"C12:37"
357,2048,"C40:47"
363,803,"C16:2"
328,2029,"C40:28"
373,566,"C11:15"
220,464,"C9:13"
302,2296,"C45:45"
364,1083,"C21:32"
274,548,"C10:47"
287,1665,"C33:14"
221,1350,"C26:49"
310,469,"C9:18"
326,728,"C14:27"
290,620,"C12:19"
269,1115,"C22:14"
344,1225,"C24:24"
333,1358,"C27:7"
362,2160,"C43:9"
205,2324,"C46:23"
296,753,"C15:2"
207,1371,"C27:20"
398,906,"C18:5"
348,792,"C15:41"
282,366,"C7:15"
270,548,"C10:47"
272,2296,"C45:45"
316,2447,"C48:46"
393,1321,"C26:20"
394,796,"C15:45"
213,1518,"C30:17"
331,2237,"C44:36"
352,688,"C13:37"
210,2116,"C42:15"
384,2451,"C49:0"
300,2197,"C43:46"
301,1759,"C35:8"
221,1400,"C27:49"
354,345,"C6:44"
371,663,"C13:12"
224,1115,"C22:14"
346,646,"C12:45"
297,2084,"C41:33"
291,713,"C14:12"
382,1321,"C26:20"
253,1465,"C29:14"
289,1329,"C26:28"
377,670,"C13:19"
345,653,"C13:2"
251,2393,"C47:42"
257,156,"C3:5"
360,2168,"C43:17"
322,613,"C12:12"
267,2437,"C48:36"
372,548,"C10:47"
286,630,"C12:29"
284,670,"C13:19"
275,799,"C15:48"
320,1906,"C38:5"
377,620,"C12:19"
351,516,"C10:15"
201,527,"C10:26"
226,1274,"C25:23"
289,1279,"C25:28"
234,381,"C7:30"
240,176,"C3:25"
313,213,"C4:12"
265,1254,"C25:3"
353,1154,"C23:3"
319,1278,"C25:27"
273,485,"C9:34"
379,419,"C8:18"
363,804,"C16:3"
247,1460,"C29:9"
317,357,"C7:6"
233,548,"C10:47"
281,727,"C14:26"
327,1925,"C38:24"
250,466,"C9:15"
381,2134,"C42:33"
284,620,"C12:19"
255,131,"C2:30"
397,827,"C16:26"
355,753,"C15:2"
302,2246,"C44:45"
256,1054,"C21:3"
266,340,"C6:39"
203,1480,"C29:29"
225,1410,"C28:9"
280,12,"C0:11"
360,2118,"C42:17"
308,670,"C13:19"
340,2451,"C49:0"
314,1768,"C35:17"
334,689,"C13:38"
358,1914,"C38:13"
392,1224,"C24:23"
245,792,"C15:41"
244,1093,"C21:42"
276,245,"C4:44"
219,1154,"C23:3"
264,2109,"C42:8"
386,45,"C0:44"
210,2066,"C41:15"
347,1788,"C35:37"
238,624,"C12:23"
332,1114,"C22:13"
250,416,"C8:15"
267,2387,"C47:36"
272,2346,"C46:45"
365,1770,"C35:19"
283,1224,"C24:23"
308,620,"C12:19"
391,1304,"C26:3"
223,2053,"C41:2"
281,777,"C15:26"
385,80,"C1:29"
253,1515,"C30:14"
303,286,"C5:35"
292,2329,"C46:28"
375,1909,"C38:8"
296,803,"C16:2"
394,846,"C16:45"
348,842,"C16:41"
244,1143,"C22:42"
388,95,"C1:44"
204,1930,"C38:29"
282,416,"C8:15"
358,1864,"C37:13"
299,59,"C1:8"
365,1720,"C34:19"
367,1197,"C23:46"
341,1143,"C22:42"
384,2401,"C48:0"
292,2379,"C47:28"
271,359,"C7:8"
343,2028,"C40:27"
354,295,"C5:44"
228,1788,"C35:37"
345,703,"C14:2"
330,183,"C3:32"
286,580,"C11:29"
373,516,"C10:15"
