traj_id,cell_id,cell_names
287,3564,"C3:1"
263,3562,"C2:4"
303,3551,"C0:3"
351,3554,"C1:1"
305,3570,"C4:2"
266,3551,"C0:3"
282,3549,"C0:1"
368,3548,"C0:0"
338,3571,"C4:3"
364,3561,"C2:3"
286,3555,"C1:2"
244,3562,"C2:4"
218,3560,"C2:2"
360,3569,"C4:1"
397,3555,"C1:2"
279,3559,"C2:1"
239,3551,"C0:3"
213,3564,"C3:1"
240,3550,"C0:2"
259,3561,"C2:3"
301,3563,"C3:0"
281,3555,"C1:2"
371,3554,"C1:1"
297,3571,"C4:3"
352,3556,"C1:3"
394,3557,"C1:4"
393,3560,"C2:2"
389,3554,"C1:1"
284,3554,"C1:1"
396,3548,"C0:0"
215,3550,"C0:2"
392,3560,"C2:2"
269,3559,"C2:1"
317,3548,"C0:0"
318,3563,"C3:0"
213,3559,"C2:1"
201,3555,"C1:2"
281,3550,"C0:2"
306,3568,"C4:0"
229,3566,"C3:3"
359,3551,"C0:3"
294,3552,"C0:4"
256,3558,"C2:0"
381,3571,"C4:3"
216,3571,"C4:3"
228,3566,"C3:3"
335,3571,"C4:3"
260,3559,"C2:1"
246,3554,"C1:1"
346,3557,"C1:4"
315,3570,"C4:2"
378,3566,"C3:3"
378,3561,"C2:3"
272,3572,"C4:4"
262,3560,"C2:2"
326,3555,"C1:2"
377,3554,"C1:1"
291,3554,"C1:1"
211,3564,"C3:1"
376,3571,"C4:3"
390,3570,"C4:2"
255,3551,"C0:3"
227,3554,"C1:1"
290,3554,"C1:1"
278,3569,"C4:1"
374,3551,"C0:3"
373,3554,"C1:1"
210,3569,"C4:1"
249,3557,"C1:4"
206,3560,"C2:2"
332,3559,"C2:1"
333,3558,"C2:0"
334,3556,"C1:3"
242,3558,"C2:0"
207,3560,"C2:2"
363,3553,"C1:0"
314,3564,"C3:1"
349,3549,"C0:1"
276,3552,"C0:4"
253,3559,"C2:1"
391,3558,"C2:0"
220,3549,"C0:1"
267,3571,"C4:3"
300,3572,"C4:4"
251,3572,"C4:4"
398,3553,"C1:0"
218,3565,"C3:2"
302,3572,"C4:4"
254,3565,"C3:2"
250,3549,"C0:1"
296,3553,"C1:0"
265,3558,"C2:0"
355,3553,"C1:0"
354,3552,"C0:4"
212,3549,"C0:1"
351,3549,"C0:1"
