cell_id,grid_id,cell_names,coordinates
304,181398528,C0:0,0103000020E61000000100000005000000F2D077B7B2DE4540B933130CE7E053C0F2D077B7B2DE45404D36A728B6E053C05059A89086DE45404D36A728B6E053C05059A89086DE4540B933130CE7E053C0F2D077B7B2DE4540B933130CE7E053C0
305,181398528,C0:1,0103000020E61000000100000005000000F2D077B7B2DE45404D36A728B6E053C0F2D077B7B2DE4540E1383B4585E053C05059A89086DE4540E1383B4585E053C05059A89086DE45404D36A728B6E053C0F2D077B7B2DE45404D36A728B6E053C0
306,181398528,C0:2,0103000020E61000000100000005000000F2D077B7B2DE4540E1383B4585E053C0F2D077B7B2DE4540753BCF6154E053C05059A89086DE4540753BCF6154E053C05059A89086DE4540E1383B4585E053C0F2D077B7B2DE4540E1383B4585E053C0
307,181398528,C0:3,0103000020E61000000100000005000000F2D077B7B2DE4540753BCF6154E053C0F2D077B7B2DE4540093E637E23E053C05059A89086DE4540093E637E23E053C05059A89086DE4540753BCF6154E053C0F2D077B7B2DE4540753BCF6154E053C0
308,181398528,C0:4,0103000020E61000000100000005000000F2D077B7B2DE4540093E637E23E053C0F2D077B7B2DE45409D40F79AF2DF53C05059A89086DE45409D40F79AF2DF53C05059A89086DE4540093E637E23E053C0F2D077B7B2DE4540093E637E23E053C0
309,181398528,C0:5,0103000020E61000000100000005000000F2D077B7B2DE45409D40F79AF2DF53C0F2D077B7B2DE454031438BB7C1DF53C05059A89086DE454031438BB7C1DF53C05059A89086DE45409D40F79AF2DF53C0F2D077B7B2DE45409D40F79AF2DF53C0
310,181398528,C0:6,0103000020E61000000100000005000000F2D077B7B2DE454031438BB7C1DF53C0F2D077B7B2DE4540C5451FD490DF53C05059A89086DE4540C5451FD490DF53C05059A89086DE454031438BB7C1DF53C0F2D077B7B2DE454031438BB7C1DF53C0
311,181398528,C0:7,0103000020E61000000100000005000000F2D077B7B2DE4540C5451FD490DF53C0F2D077B7B2DE45405948B3F05FDF53C05059A89086DE45405948B3F05FDF53C05059A89086DE4540C5451FD490DF53C0F2D077B7B2DE4540C5451FD490DF53C0
312,181398528,C0:8,0103000020E61000000100000005000000F2D077B7B2DE45405948B3F05FDF53C0F2D077B7B2DE4540ED4A470D2FDF53C05059A89086DE4540ED4A470D2FDF53C05059A89086DE45405948B3F05FDF53C0F2D077B7B2DE45405948B3F05FDF53C0
313,181398528,C0:9,0103000020E61000000100000005000000F2D077B7B2DE4540ED4A470D2FDF53C0F2D077B7B2DE4540814DDB29FEDE53C05059A89086DE4540814DDB29FEDE53C05059A89086DE4540ED4A470D2FDF53C0F2D077B7B2DE4540ED4A470D2FDF53C0
314,181398528,C0:10,0103000020E61000000100000005000000F2D077B7B2DE4540814DDB29FEDE53C0F2D077B7B2DE454015506F46CDDE53C05059A89086DE454015506F46CDDE53C05059A89086DE4540814DDB29FEDE53C0F2D077B7B2DE4540814DDB29FEDE53C0
315,181398528,C1:0,0103000020E610000001000000050000005059A89086DE4540B933130CE7E053C05059A89086DE45404D36A728B6E053C0AEE1D8695ADE45404D36A728B6E053C0AEE1D8695ADE4540B933130CE7E053C05059A89086DE4540B933130CE7E053C0
316,181398528,C1:1,0103000020E610000001000000050000005059A89086DE45404D36A728B6E053C05059A89086DE4540E1383B4585E053C0AEE1D8695ADE4540E1383B4585E053C0AEE1D8695ADE45404D36A728B6E053C05059A89086DE45404D36A728B6E053C0
317,181398528,C1:2,0103000020E610000001000000050000005059A89086DE4540E1383B4585E053C05059A89086DE4540753BCF6154E053C0AEE1D8695ADE4540753BCF6154E053C0AEE1D8695ADE4540E1383B4585E053C05059A89086DE4540E1383B4585E053C0
318,181398528,C1:3,0103000020E610000001000000050000005059A89086DE4540753BCF6154E053C05059A89086DE4540093E637E23E053C0AEE1D8695ADE4540093E637E23E053C0AEE1D8695ADE4540753BCF6154E053C05059A89086DE4540753BCF6154E053C0
319,181398528,C1:4,0103000020E610000001000000050000005059A89086DE4540093E637E23E053C05059A89086DE45409D40F79AF2DF53C0AEE1D8695ADE45409D40F79AF2DF53C0AEE1D8695ADE4540093E637E23E053C05059A89086DE4540093E637E23E053C0
320,181398528,C1:5,0103000020E610000001000000050000005059A89086DE45409D40F79AF2DF53C05059A89086DE454031438BB7C1DF53C0AEE1D8695ADE454031438BB7C1DF53C0AEE1D8695ADE45409D40F79AF2DF53C05059A89086DE45409D40F79AF2DF53C0
321,181398528,C1:6,0103000020E610000001000000050000005059A89086DE454031438BB7C1DF53C05059A89086DE4540C5451FD490DF53C0AEE1D8695ADE4540C5451FD490DF53C0AEE1D8695ADE454031438BB7C1DF53C05059A89086DE454031438BB7C1DF53C0
322,181398528,C1:7,0103000020E610000001000000050000005059A89086DE4540C5451FD490DF53C05059A89086DE45405948B3F05FDF53C0AEE1D8695ADE45405948B3F05FDF53C0AEE1D8695ADE4540C5451FD490DF53C05059A89086DE4540C5451FD490DF53C0
323,181398528,C1:8,0103000020E610000001000000050000005059A89086DE45405948B3F05FDF53C05059A89086DE4540ED4A470D2FDF53C0AEE1D8695ADE4540ED4A470D2FDF53C0AEE1D8695ADE45405948B3F05FDF53C05059A89086DE45405948B3F05FDF53C0
324,181398528,C1:9,0103000020E610000001000000050000005059A89086DE4540ED4A470D2FDF53C05059A89086DE4540814DDB29FEDE53C0AEE1D8695ADE4540814DDB29FEDE53C0AEE1D8695ADE4540ED4A470D2FDF53C05059A89086DE4540ED4A470D2FDF53C0
325,181398528,C1:10,0103000020E610000001000000050000005059A89086DE4540814DDB29FEDE53C05059A89086DE454015506F46CDDE53C0AEE1D8695ADE454015506F46CDDE53C0AEE1D8695ADE4540814DDB29FEDE53C05059A89086DE4540814DDB29FEDE53C0
326,181398528,C2:0,0103000020E61000000100000005000000AEE1D8695ADE4540B933130CE7E053C0AEE1D8695ADE45404D36A728B6E053C00C6A09432EDE45404D36A728B6E053C00C6A09432EDE4540B933130CE7E053C0AEE1D8695ADE4540B933130CE7E053C0
327,181398528,C2:1,0103000020E61000000100000005000000AEE1D8695ADE45404D36A728B6E053C0AEE1D8695ADE4540E1383B4585E053C00C6A09432EDE4540E1383B4585E053C00C6A09432EDE45404D36A728B6E053C0AEE1D8695ADE45404D36A728B6E053C0
328,181398528,C2:2,0103000020E61000000100000005000000AEE1D8695ADE4540E1383B4585E053C0AEE1D8695ADE4540753BCF6154E053C00C6A09432EDE4540753BCF6154E053C00C6A09432EDE4540E1383B4585E053C0AEE1D8695ADE4540E1383B4585E053C0
329,181398528,C2:3,0103000020E61000000100000005000000AEE1D8695ADE4540753BCF6154E053C0AEE1D8695ADE4540093E637E23E053C00C6A09432EDE4540093E637E23E053C00C6A09432EDE4540753BCF6154E053C0AEE1D8695ADE4540753BCF6154E053C0
330,181398528,C2:4,0103000020E61000000100000005000000AEE1D8695ADE4540093E637E23E053C0AEE1D8695ADE45409D40F79AF2DF53C00C6A09432EDE45409D40F79AF2DF53C00C6A09432EDE4540093E637E23E053C0AEE1D8695ADE4540093E637E23E053C0
331,181398528,C2:5,0103000020E61000000100000005000000AEE1D8695ADE45409D40F79AF2DF53C0AEE1D8695ADE454031438BB7C1DF53C00C6A09432EDE454031438BB7C1DF53C00C6A09432EDE45409D40F79AF2DF53C0AEE1D8695ADE45409D40F79AF2DF53C0
332,181398528,C2:6,0103000020E61000000100000005000000AEE1D8695ADE454031438BB7C1DF53C0AEE1D8695ADE4540C5451FD490DF53C00C6A09432EDE4540C5451FD490DF53C00C6A09432EDE454031438BB7C1DF53C0AEE1D8695ADE454031438BB7C1DF53C0
333,181398528,C2:7,0103000020E61000000100000005000000AEE1D8695ADE4540C5451FD490DF53C0AEE1D8695ADE45405948B3F05FDF53C00C6A09432EDE45405948B3F05FDF53C00C6A09432EDE4540C5451FD490DF53C0AEE1D8695ADE4540C5451FD490DF53C0
334,181398528,C2:8,0103000020E61000000100000005000000AEE1D8695ADE45405948B3F05FDF53C0AEE1D8695ADE4540ED4A470D2FDF53C00C6A09432EDE4540ED4A470D2FDF53C00C6A09432EDE45405948B3F05FDF53C0AEE1D8695ADE45405948B3F05FDF53C0
335,181398528,C2:9,0103000020E61000000100000005000000AEE1D8695ADE4540ED4A470D2FDF53C0AEE1D8695ADE4540814DDB29FEDE53C00C6A09432EDE4540814DDB29FEDE53C00C6A09432EDE4540ED4A470D2FDF53C0AEE1D8695ADE4540ED4A470D2FDF53C0
