traj_id,cell_id,cell_names
20,3920,C26:14
210,3377,C8:11
423,3709,C19:13
331,3554,C14:8
377,3591,C15:15
289,3591,C15:15
411,3639,C17:3
333,3853,C24:7
281,3772,C21:16
70,3446,C10:20
11,3454,C10:28
106,3170,C1:14
221,3670,C18:4
338,3172,C1:16
314,3524,C13:8
445,3289,C5:13
103,3786,C22:0
143,3786,C22:0
95,3588,C15:12
55,3602,C15:26
57,3688,C18:22
43,3736,C20:10
435,3635,C16:29
104,3469,C11:13
337,3523,C13:7
307,3763,C21:7
175,3637,C17:1
214,3365,C7:29
85,3586,C15:10
86,3129,C0:3
160,3702,C19:6
311,3918,C26:12
288,3779,C21:23
498,3237,C3:21
345,3601,C15:25
397,3262,C4:16
193,3524,C13:8
269,3592,C15:16
5,3566,C14:20
482,3331,C6:25
444,3473,C11:17
356,3960,C27:24
184,3868,C24:22
37,3712,C19:16
19,3459,C11:3
137,3466,C11:10
311,3948,C27:12
350,3292,C5:16
106,3200,C2:14
12,3526,C13:10
69,3526,C13:10
66,3721,C19:25
360,3796,C22:10
33,3262,C4:16
173,3721,C19:25
182,3856,C24:10
188,3849,C24:3
243,3403,C9:7
75,3253,C4:7
333,3883,C25:7
16,3614,C16:8
100,3735,C20:9
182,3826,C23:10
157,3417,C9:21
25,3887,C25:11
58,3259,C4:13
409,3749,C20:23
275,3326,C6:20
379,3458,C11:2
99,3962,C27:26
354,3564,C14:18
358,3745,C20:19
170,3150,C0:24
297,3782,C21:26
370,3765,C21:9
175,3667,C18:1
6,3331,C6:25
410,3706,C19:10
403,3884,C25:8
186,3497,C12:11
303,3231,C3:15
19,3429,C10:3
431,3405,C9:9
457,3645,C17:9
205,4020,C29:24
274,4003,C29:7
246,3868,C24:22
267,3701,C19:5
261,3796,C22:10
296,3129,C0:3
148,3436,C10:10
178,3504,C12:18
227,3472,C11:16
294,3990,C28:24
486,3278,C5:2
343,3745,C20:19
257,3671,C18:5
386,3231,C3:15
299,3359,C7:23
477,3791,C22:5
479,3902,C25:26
327,3940,C27:4
238,3269,C4:23
443,3923,C26:17
290,3376,C8:10
207,3520,C13:4
128,3760,C21:4
427,3826,C23:10
323,3208,C2:22
298,3702,C19:6
80,3702,C19:6
51,3675,C18:9
416,4003,C29:7
303,3201,C2:15
206,3940,C27:4
290,3406,C9:10
132,3243,C3:27
152,3977,C28:11
306,3873,C24:27
2,3361,C7:25
48,3481,C11:25
41,4024,C29:28
466,4003,C29:7
447,3827,C23:11
330,3567,C14:21
255,3534,C13:18
44,3458,C11:2
425,3129,C0:3
429,3404,C9:8
21,3299,C5:23
167,3657,C17:21
60,3460,C11:4
1,3779,C21:23
46,3502,C12:16
197,3914,C26:8
135,3584,C15:8
433,3680,C18:14
92,3252,C4:6
248,3820,C23:4
479,3872,C24:26
52,3735,C20:9
473,3910,C26:4
133,3645,C17:9
40,3655,C17:19
465,3243,C3:27
90,3333,C6:27
341,3449,C10:23
141,3213,C2:27
265,3430,C10:4
124,3932,C26:26
402,3469,C11:13
434,3616,C16:10
381,3554,C14:8
283,3173,C1:17
460,3765,C21:9
191,3849,C24:3
477,3821,C23:5
473,3940,C27:4
328,3641,C17:5
94,3988,C28:22
124,3962,C27:26
264,3565,C14:19
382,3301,C5:25
145,3254,C4:8
105,3789,C22:3
344,3895,C25:19
98,3354,C7:18
234,3835,C23:19
406,3778,C21:22
97,3514,C12:28
