traj_id,cell_id,cell_names
324,38204,C105:5
365,35132,C77:41
231,31435,C44:7
399,35132,C77:41
331,37614,C99:81
393,33139,C59:46
289,33046,C58:64
311,30451,C35:22
288,27504,C8:72
328,36486,C89:63
243,29201,C23:104
400,38328,C106:18
306,38328,C106:18
339,28513,C17:82
332,32014,C49:31
290,29694,C28:42
381,37053,C94:75
348,30188,C32:92
257,27333,C7:12
315,37911,C102:45
317,28333,C16:13
353,32101,C50:7
259,33278,C60:74
319,32821,C56:61
295,34805,C74:47
309,37059,C94:81
299,26897,C3:20
397,30597,C36:57
236,30597,C36:57
229,34612,C72:76
251,38071,C103:94
238,29480,C26:50
396,26776,C2:10
297,36831,C92:75
280,26678,C1:23
268,34436,C71:11
357,36418,C88:106
234,28610,C18:68
201,29378,C25:59
221,33203,C59:110
337,38828,C110:74
306,38217,C105:18
394,30196,C32:100
304,30726,C37:75
276,27975,C12:99
386,27086,C4:98
287,34679,C73:32
240,27711,C10:57
222,28579,C18:37
303,27621,C9:78
281,30042,C31:57
301,35442,C80:18
345,29546,C27:5
305,36690,C91:45
244,31967,C48:95
367,32309,C51:104
264,36998,C94:20
207,33139,C59:46
366,36690,C91:45
326,30267,C33:60
272,37633,C99:100
310,28915,C21:40
314,35462,C80:38
379,28915,C21:40
362,37331,C97:20
205,38028,C103:51
286,29716,C28:64
286,29605,C27:64
364,31722,C46:72
285,38186,C104:98
224,32125,C50:31
273,29061,C22:75
300,37525,C98:103
228,35394,C79:81
252,30452,C35:23
265,32435,C53:8
392,32591,C54:53
282,28242,C15:33
294,28863,C20:99
218,33371,C61:56
352,29734,C28:82
283,32700,C55:51
335,37387,C97:76
273,28950,C21:75
370,35298,C78:96
399,35243,C78:41
275,30202,C32:106
212,27575,C9:32
260,32232,C51:27
303,27732,C10:78
287,34568,C72:32
302,37967,C102:101
323,35288,C78:86
298,34007,C67:26
356,28751,C19:98
237,38757,C110:3
210,37124,C95:35
361,32826,C56:66
215,28149,C14:51
375,36219,C87:18
266,28184,C14:86
213,34241,C69:38
216,38392,C106:82
394,30197,C32:101
368,28768,C20:4
296,30102,C32:6
400,38217,C105:18
267,38723,C109:80
351,29243,C24:35
342,37736,C100:92
349,27794,C11:29
211,35897,C84:29
353,32102,C50:8
256,32102,C50:8
305,36801,C92:45
282,28353,C16:33
384,38756,C110:2
245,30632,C36:92
300,37414,C97:103
307,32820,C56:60
379,28804,C20:40
373,29243,C24:35
329,32592,C54:54
385,26943,C3:66
388,27197,C5:98
343,36485,C89:62
363,30435,C35:6
254,35147,C77:56
354,28308,C15:99
321,33775,C65:16
226,32700,C55:51
255,27388,C7:67
291,29790,C29:27
247,33558,C63:21
322,29790,C29:27
398,30996,C40:12
313,27238,C6:28
302,37856,C101:101
281,30153,C32:57
377,29694,C28:42
201,29267,C24:59
320,36212,C87:11
355,29991,C31:6
284,29694,C28:42
269,32126,C50:32
345,29657,C28:5
216,38281,C105:82
246,29695,C28:43
279,32688,C55:39
272,37744,C100:100
208,29201,C23:104
274,29313,C24:105
333,33220,C60:16
248,32700,C55:51
211,36008,C85:29
308,29694,C28:42
258,26971,C3:94
348,30299,C33:92
250,28908,C21:33
271,28451,C17:20
391,32768,C56:8
390,37364,C97:53
297,36720,C91:75
275,30313,C33:106
240,27600,C9:57
292,38041,C103:64
251,38182,C104:94
265,32546,C54:8
316,38413,C106:103
386,26975,C3:98
263,31749,C46:99
267,38612,C108:80
349,27905,C12:29
250,28797,C20:33
276,27864,C11:99
274,29202,C23:105
204,36266,C87:65
380,35966,C84:98
316,38524,C107:103
292,38152,C104:64
394,30308,C33:101
346,29752,C28:100
256,31991,C49:8
351,29132,C23:35
310,28804,C20:40
270,29313,C24:105
296,30213,C33:6
253,33901,C66:31
313,27349,C7:28
262,32820,C56:60
322,29679,C28:27
264,36997,C94:19
298,34118,C68:26
326,30268,C33:61
302,37745,C100:101
280,26679,C1:24
291,29901,C30:27
372,29313,C24:105
241,36210,C87:9
379,28805,C20:41
220,28683,C19:30
384,38645,C109:2
335,37276,C96:76
357,36529,C89:106
312,28124,C14:26
324,38315,C106:5
314,35351,C79:38
210,37013,C94:35
331,37503,C98:81
358,36008,C85:29
242,33661,C64:13
270,29202,C23:105
336,28560,C18:18
360,37127,C95:38
207,33250,C60:46
282,28354,C16:34
280,26568,C0:24
354,28197,C14:99
338,38283,C105:84
247,33669,C64:21
233,29313,C24:105
289,33045,C58:63
393,33138,C59:45
201,29156,C23:59
219,32213,C51:8
245,30521,C35:92
374,27626,C9:83
363,30546,C36:6
395,29061,C22:75
272,37745,C100:101
355,30102,C32:6
206,33477,C62:51
345,29768,C29:5
379,28694,C19:41
267,38501,C107:80
385,26832,C2:66
347,35285,C78:83
285,38185,C104:97
341,32076,C49:93
325,35649,C82:3
300,37413,C97:102
312,28013,C13:26
293,26887,C3:10
393,33027,C58:45
238,29481,C26:51
226,32811,C56:51
320,36101,C86:11
289,32934,C57:63
338,38172,C104:84
278,38450,C107:29
358,35897,C84:29
240,27489,C8:57
378,33945,C66:75
348,30410,C34:92
290,29695,C28:43
352,29735,C28:83
295,34806,C74:48
275,30424,C34:106
382,33027,C58:45
337,38829,C110:75
238,29592,C27:51
344,32592,C54:54
294,28974,C21:99
376,37498,C98:76
395,28950,C21:75
373,29132,C23:35
372,29202,C23:105
255,27277,C6:67
332,32013,C49:30
365,35133,C77:42
265,32657,C55:8
225,33558,C63:21
217,27285,C6:75
256,31880,C48:8
388,27086,C4:98
288,27505,C8:73
394,30419,C34:101
234,28499,C17:68
333,33109,C59:16
220,28794,C20:30
386,26864,C2:98
381,36942,C93:75
359,28184,C14:86
302,37744,C100:100
313,27460,C8:28
353,32213,C51:8
375,36108,C86:18
326,30157,C32:61
212,27686,C10:32
380,36077,C85:98
295,34695,C73:48
351,29021,C22:35
397,30598,C36:58
296,30324,C34:6
277,34915,C75:46
352,29846,C29:83
276,27753,C10:99
281,30154,C32:58
278,38561,C108:29
382,33138,C59:45
392,32590,C54:52
391,32879,C57:8
400,38218,C105:19
233,29202,C23:105
392,32701,C55:52
242,33550,C63:13
299,26896,C3:19
201,29045,C22:59
228,35395,C79:82
384,38534,C108:2
273,28951,C21:76
204,36155,C86:65
366,36691,C91:46
306,38218,C105:19
390,37253,C96:53
203,33713,C64:65
272,37856,C101:101
309,37058,C94:80
246,29696,C28:44
266,28185,C14:87
268,34547,C72:11
288,27616,C9:73
354,28086,C13:99
282,28465,C17:34
223,36871,C93:4
379,28693,C19:40
253,34012,C67:31
246,29585,C27:44
228,35284,C78:82
286,29606,C27:65
345,29879,C30:5
387,32730,C55:81
355,30213,C33:6
310,28805,C20:41
251,38183,C104:95
226,32812,C56:52
363,30657,C37:6
327,36144,C86:54
281,30265,C33:58
362,37220,C96:20
285,38297,C105:98
326,30046,C31:61
