traj_id,cell_id,coordinates
550,2457,0103000020E6100000010000000500000044B097933D5F444060E811A3E78052C044B097933D5F4440F7E80DF7917F52C02B31CF4A5A594440F7E80DF7917F52C02B31CF4A5A59444060E811A3E78052C044B097933D5F444060E811A3E78052C0
511,2457,0103000020E6100000010000000500000044B097933D5F444060E811A3E78052C044B097933D5F4440F7E80DF7917F52C02B31CF4A5A594440F7E80DF7917F52C02B31CF4A5A59444060E811A3E78052C044B097933D5F444060E811A3E78052C0
495,2455,0103000020E610000001000000050000005C2F60DC20654440F7E80DF7917F52C05C2F60DC206544408EE9094B3C7E52C044B097933D5F44408EE9094B3C7E52C044B097933D5F4440F7E80DF7917F52C05C2F60DC20654440F7E80DF7917F52C0
589,2456,0103000020E610000001000000050000005C2F60DC206544408EE9094B3C7E52C05C2F60DC2065444025EA059FE67C52C044B097933D5F444025EA059FE67C52C044B097933D5F44408EE9094B3C7E52C05C2F60DC206544408EE9094B3C7E52C0
589,2455,0103000020E610000001000000050000005C2F60DC20654440F7E80DF7917F52C05C2F60DC206544408EE9094B3C7E52C044B097933D5F44408EE9094B3C7E52C044B097933D5F4440F7E80DF7917F52C05C2F60DC20654440F7E80DF7917F52C0
500,2453,0103000020E6100000010000000500000075AE2825046B44408EE9094B3C7E52C075AE2825046B444025EA059FE67C52C05C2F60DC2065444025EA059FE67C52C05C2F60DC206544408EE9094B3C7E52C075AE2825046B44408EE9094B3C7E52C0
513,2458,0103000020E6100000010000000500000044B097933D5F4440F7E80DF7917F52C044B097933D5F44408EE9094B3C7E52C02B31CF4A5A5944408EE9094B3C7E52C02B31CF4A5A594440F7E80DF7917F52C044B097933D5F4440F7E80DF7917F52C0
588,2455,0103000020E610000001000000050000005C2F60DC20654440F7E80DF7917F52C05C2F60DC206544408EE9094B3C7E52C044B097933D5F44408EE9094B3C7E52C044B097933D5F4440F7E80DF7917F52C05C2F60DC20654440F7E80DF7917F52C0
516,2454,0103000020E610000001000000050000005C2F60DC2065444060E811A3E78052C05C2F60DC20654440F7E80DF7917F52C044B097933D5F4440F7E80DF7917F52C044B097933D5F444060E811A3E78052C05C2F60DC2065444060E811A3E78052C0
520,2459,0103000020E6100000010000000500000044B097933D5F44408EE9094B3C7E52C044B097933D5F444025EA059FE67C52C02B31CF4A5A59444025EA059FE67C52C02B31CF4A5A5944408EE9094B3C7E52C044B097933D5F44408EE9094B3C7E52C0
