null_node1,null_node2,real_node1,real_node2,cos_sim_diff
3558,3567,3558,3567,-0.9106530140636743
3558,3553,3558,3553,-0.8847439821007057
3558,3569,3558,3569,-0.987617251330551
3558,3570,3558,3570,-0.8209278853256559
3558,3557,infinite,infinite,infinite
3558,3571,3558,3571,-0.7981328439809829
3558,3552,3558,3552,-0.7790129634492863
3558,3568,3558,3568,-0.870647107371768
3558,3548,3558,3548,-1.0597652881700956
3558,3572,3558,3572,-0.8013794828235629
3562,3567,3562,3567,-1.100543419734544
3562,3553,3562,3553,-0.7812201831778569
3562,3569,3562,3569,-0.8435060515834248
3562,3570,3562,3570,-0.9511065084233367
3562,3557,3562,3557,-0.9637505253309846
3562,3571,3562,3571,-0.8172294324943025
3562,3552,3562,3552,-0.9836714574837991
3562,3568,3562,3568,-0.7649093796808628
3562,3548,3562,3548,-0.848333752174584
3562,3572,3562,3572,-0.974427635562951
3567,3553,infinite,infinite,infinite
3567,3569,3567,3569,-1.0482684736048986
3567,3570,3567,3570,-0.779055236601766
3567,3557,infinite,infinite,infinite
3567,3571,3567,3571,-1.180157582703844
3567,3552,infinite,infinite,infinite
3567,3568,infinite,infinite,infinite
3567,3548,infinite,infinite,infinite
3567,3572,3567,3572,-0.9030816939795496
3553,3569,3553,3569,-0.8410866575289955
3553,3570,3553,3570,-0.756480777527221
3553,3557,infinite,infinite,infinite
3553,3571,3553,3571,-0.7066193905672733
3553,3552,3553,3552,-0.8902263788274486
3553,3568,3553,3568,-0.8302134989375753
3553,3548,3553,3548,-0.9619663500325645
3553,3572,3553,3572,-0.726588201894485
3569,3570,infinite,infinite,infinite
3569,3557,infinite,infinite,infinite
3569,3571,infinite,infinite,infinite
3569,3552,infinite,infinite,infinite
3569,3568,infinite,infinite,infinite
3569,3548,infinite,infinite,infinite
3569,3572,infinite,infinite,infinite
3570,3557,infinite,infinite,infinite
3570,3571,infinite,infinite,infinite
3570,3552,infinite,infinite,infinite
3570,3568,infinite,infinite,infinite
3570,3548,infinite,infinite,infinite
3570,3572,3570,3572,-0.9368260278100763
3557,3571,3557,3571,-0.993500751381569
3557,3552,3557,3552,-1.0385212696258443
3557,3568,3557,3568,-0.8593644358359211
3557,3548,3557,3548,-0.8829768376583883
3557,3572,3557,3572,-0.8864303922922271
3571,3552,infinite,infinite,infinite
3571,3568,infinite,infinite,infinite
3571,3548,infinite,infinite,infinite
3571,3572,3571,3572,-1.015804778736891
3552,3568,3552,3568,-0.6532955558493028
3552,3548,3552,3548,-0.9720580501895381
3552,3572,3552,3572,-0.8646338426281077
3568,3548,3568,3548,-0.8882197412164753
3568,3572,3568,3572,-0.9337041962860873
3548,3572,3548,3572,-0.9032430793779446
