traj_id,cell_id
898,616
1779,646
5482,742
8359,603
8207,646
1329,195
2400,581
6560,676
3307,742
3619,474
5236,537
5144,781
6006,745
5322,467
1659,673
4341,851
2394,229
204,781
703,709
5211,161
4396,614
2474,713
1242,441
7101,711
7971,612
3817,402
1905,741
1825,820
4493,770
5316,645
3019,637
3486,646
1293,779
5904,815
7940,776
6082,673
2611,644
7542,229
8405,644
2424,855
3366,813
1920,434
1452,509
4448,676
1640,717
6582,480
6610,709
2545,512
7014,567
3927,331
2054,849
3628,920
6917,434
5576,1020
7816,680
1887,480
2922,742
5943,645
1835,646
2126,883
2574,710
3332,611
2725,848
4920,675
7839,740
3219,657
2437,546
3074,511
5394,713
5700,921
4669,641
5634,883
4010,409
6317,849
6122,646
6583,646
6524,610
3998,711
241,743
7373,604
4131,740
5108,884
8004,743
1683,884
4953,1021
170,201
5320,605
5431,781
8303,510
1014,713
6313,812
6131,716
3605,579
5648,640
920,540
526,331
3727,263
7308,852
3140,646
5567,950
3433,587
2554,646
5996,543
2051,670
8270,567
7032,884
1116,589
3638,887
4565,511
2797,852
4803,883
7758,614
1027,298
3836,574
5067,441
5103,819
1289,548
3520,782
3832,641
6553,610
1740,1095
4295,920
4768,847
5452,783
1877,817
5135,1076
4249,608
6294,812
8469,645
3197,578
8188,572
4973,853
8070,678
5274,644
6181,607
6874,742
6337,646
3272,810
8146,539
2560,958
3406,884
4426,915
5987,680
322,645
3079,579
7113,741
3900,577
4913,545
2292,674
7459,644
4274,680
417,680
1296,536
5550,266
6734,984
6912,675
7355,746
174,986
4421,713
906,468
1253,640
3998,710
5627,366
4045,713
2083,916
6030,434
688,607
4181,887
3884,675
3762,887
7672,675
7004,540
8418,819
3010,931
6859,985
6099,919
1571,504
8071,648
5295,610
44,263
7197,544
1218,444
627,540
881,713
1338,548
3877,542
3811,609
4674,478
8311,710
3265,741
2091,646
73,820
3562,920
3356,680
5950,539
3308,886
5184,92
6233,1137
4024,577
2578,568
3566,263
1292,332
5885,503
5104,950
3926,606
2678,885
6700,266
3199,642
1808,576
1372,712
8416,643
6106,1054
2232,817
6788,480
5424,689
7634,572
3241,127
1892,682
3837,748
926,884
2823,444
931,365
6892,642
4835,675
4817,784
3429,542
2374,924
6010,534
5812,475
5632,331
2106,948
7068,708
5096,582
4716,571
6991,476
3869,680
8476,401
7553,644
5787,813
4737,578
3048,678
5875,609
8346,442
1952,334
3546,676
771,853
3304,851
4346,1021
8147,433
7257,510
4739,648
8434,984
7365,544
6172,678
4765,574
5005,538
1981,544
6758,677
4946,888
2738,645
6401,572
6078,610
2629,1025
8189,922
1740,1094
390,675
2758,675
1564,612
8015,468
3692,642
902,266
3180,783
4376,612
1862,852
6524,645
3154,507
7350,234
5474,850
2794,510
6460,610
6568,610
7194,984
1322,679
6968,607
1520,474
1038,538
5735,539
