inter_cos,Bin limit,Bin Label,Bin Counts
0.996558731,0.1,<=0.1,5556
0.998094161,0.2,0.11-0.2,22911
0.974509352,0.3,0.21-0.3,58799
0.971842889,0.4,0.31-0.4,98373
0.994778373,0.5,0.41-0.5,121885
0.992776608,0.6,0.51-0.6,134487
0.963116534,0.7,0.61-0.7,142766
0.988617115,0.8,0.71-0.8,147364
0.67245145,0.9,0.81-0.9,149832
0.876971289,,>0.9,0
0.97308251,,,
0.983116121,,,
0.992271573,,,
0.994657058,,,
0.935296889,,,
0.98511577,,,
0.66314496,,,
0.559237327,,,
0.614703644,,,
0.715871602,,,
0.99105832,,,
0.973787891,,,
0.934412363,,,
0.84723741,,,
0.853322183,,,
0.686627374,,,
0.586297204,,,
0.546821068,,,
0.615863145,,,
0.985478952,,,
0.665048379,,,
0.662375123,,,
0.776098306,,,
0.805547946,,,
0.693709362,,,
0.722892838,,,
0.399639891,,,
0.459941749,,,
0.504326713,,,
0.847268028,,,
0.834312171,,,
0.623482638,,,
0.605236524,,,
0.619271664,,,
0.615351329,,,
0.765911415,,,
0.736954336,,,
0.728997466,,,
0.723076626,,,
0.470785906,,,
0.459383338,,,
0.522389877,,,
0.480835064,,,
0.476094715,,,
0.615577056,,,
0.574001194,,,
0.54199295,,,
0.569980747,,,
0.591459842,,,
0.743020984,,,
0.694238692,,,
0.654040703,,,
0.737532716,,,
0.472427508,,,
0.483072751,,,
0.494065523,,,
0.549230553,,,
0.517251568,,,
0.334287398,,,
0.536619839,,,
0.546123217,,,
0.590900327,,,
0.597589722,,,
0.590080457,,,
0.588545462,,,
0.670384189,,,
0.634544313,,,
0.645870447,,,
0.506191791,,,
0.496786006,,,
0.461869524,,,
0.427387586,,,
0.41503151,,,
0.475644062,,,
0.485072634,,,
0.55805893,,,
0.496405598,,,
0.498613558,,,
0.58634562,,,
0.563449508,,,
0.551487232,,,
0.609073164,,,
0.696973692,,,
0.742989628,,,
0.714052209,,,
0.728741666,,,
0.443139762,,,
0.438675277,,,
0.477048409,,,
0.444579073,,,
0.3951811,,,
0.41609293,,,
0.41026002,,,
0.409338652,,,
0.476035638,,,
0.448955729,,,
0.527344566,,,
0.543952327,,,
0.523433539,,,
0.515750484,,,
0.557822431,,,
0.43823086,,,
0.381789748,,,
0.382552261,,,
0.393158396,,,
0.386415855,,,
0.285803176,,,
0.305558237,,,
0.356569573,,,
0.389929614,,,
0.371900336,,,
0.420260575,,,
0.464759121,,,
0.492687588,,,
0.523964384,,,
0.460038658,,,
0.493103195,,,
0.536013345,,,
0.558898536,,,
0.463414115,,,
0.34940032,,,
0.203436747,,,
0.352507813,,,
0.407219001,,,
0.390516352,,,
0.302913098,,,
0.353223232,,,
0.329150982,,,
0.366946584,,,
0.388202465,,,
0.374830932,,,
0.40711022,,,
0.444350625,,,
0.457441876,,,
0.416782168,,,
0.470175821,,,
0.407970937,,,
0.313201772,,,
0.238729062,,,
0.330707909,,,
0.404115872,,,
0.381710619,,,
0.341231236,,,
0.378433525,,,
0.264213725,,,
0.255639501,,,
0.395803026,,,
0.340788491,,,
0.333192452,,,
0.433177573,,,
0.439287374,,,
0.578184729,,,
0.420417266,,,
0.390906149,,,
0.389106782,,,
0.394397515,,,
0.318381519,,,
0.237576069,,,
0.261970304,,,
0.267428031,,,
0.390436609,,,
0.281777018,,,
0.180792025,,,
0.21601564,,,
0.274535258,,,
0.302118884,,,
0.427257246,,,
0.622339744,,,
0.557967941,,,
0.403661653,,,
0.339202624,,,
0.424128836,,,
0.375695228,,,
0.37508578,,,
0.379925575,,,
0.226355765,,,
0.231446409,,,
0.117707192,,,
0.182656947,,,
0.258309652,,,
0.221942101,,,
0.214279812,,,
0.183067861,,,
0.250753041,,,
0.263958153,,,
0.253962014,,,
0.58432394,,,
0.55728095,,,
0.516537532,,,
0.488051621,,,
0.449782457,,,
0.462869661,,,
0.435102874,,,
0.413418114,,,
0.35498142,,,
0.281276091,,,
0.25015039,,,
0.121697927,,,
0.100121358,,,
0.053290617,,,
0.185930604,,,
0.203322647,,,
0.184509861,,,
0.114327977,,,
0.125276718,,,
0.215733739,,,
0.231173153,,,
0.617844897,,,
0.610701759,,,
0.477645219,,,
0.448259477,,,
0.481123538,,,
0.509319185,,,
0.475739294,,,
0.484382868,,,
0.46158899,,,
0.349434276,,,
0.309915011,,,
0.202346982,,,
0.212878004,,,
0.171367436,,,
0.052982543,,,
0.056589788,,,
0.011180174,,,
0.026902613,,,
0.073994544,,,
0.066221389,,,
0.103762223,,,
0.161542762,,,
0.231351225,,,
0.258492185,,,
0.319068825,,,
0.325899735,,,
0.64649979,,,
0.509491534,,,
0.350750808,,,
0.389036118,,,
0.388979805,,,
0.373947154,,,
0.277093576,,,
0.205302241,,,
0.171593613,,,
0.106074241,,,
0.036668877,,,
0.008715929,,,
0.007777303,,,
0.076286147,,,
0.071031378,,,
0.009588611,,,
0.091614471,,,
0.137336177,,,
0.133116945,,,
0.218484993,,,
0.28255346,,,
0.278373814,,,
0.466550958,,,
0.449445477,,,
0.30729782,,,
0.256349809,,,
0.248800025,,,
0.219887887,,,
0.184738211,,,
0.129593904,,,
0.14942979,,,
0.028439592,,,
0.032969985,,,
0.087737652,,,
0.050176638,,,
0.021488295,,,
0.172589507,,,
0.149175935,,,
0.204493638,,,
0.283504782,,,
0.287827731,,,
0.442476182,,,
0.419850812,,,
0.378995689,,,
0.301910625,,,
0.238894915,,,
0.210048318,,,
0.158708336,,,
0.072446481,,,
0.066065751,,,
0.026634704,,,
0.042588664,,,
0.07779568,,,
0.16921359,,,
0.185718872,,,
0.228358872,,,
0.201682274,,,
0.227379097,,,
0.329121091,,,
0.484033088,,,
0.398533222,,,
0.387164896,,,
0.362208757,,,
0.229175374,,,
0.16633227,,,
0.151888331,,,
0.093275203,,,
0.059074115,,,
0.001624178,,,
0.010794568,,,
0.052545921,,,
0.101584842,,,
0.158649304,,,
0.119844372,,,
0.27066013,,,
0.263888621,,,
0.252255471,,,
0.585684157,,,
0.566520045,,,
0.527221623,,,
0.496530877,,,
0.466421224,,,
0.404869173,,,
0.290663864,,,
0.470078317,,,
0.424123654,,,
0.370176491,,,
0.37995326,,,
0.301078251,,,
0.179972769,,,
0.225893959,,,
0.098337576,,,
0.079149388,,,
0.01978506,,,
0.215495126,,,
0.183278519,,,
0.310268448,,,
0.347172816,,,
0.533745117,,,
0.508515711,,,
0.435454818,,,
0.485362453,,,
0.3670413,,,
0.370464599,,,
0.40117497,,,
0.416128129,,,
0.2211456,,,
0.227489379,,,
0.209500505,,,
0.141592855,,,
0.069027874,,,
0.002671993,,,
0.079278641,,,
0.265919264,,,
0.490322901,,,
0.507954341,,,
0.501914964,,,
0.467947362,,,
0.426345386,,,
0.393952718,,,
0.417307729,,,
0.400842783,,,
0.302876123,,,
0.501090668,,,
0.436585116,,,
0.360796932,,,
0.360889765,,,
0.337057642,,,
0.249614567,,,
0.254138296,,,
0.209170762,,,
0.15784064,,,
0.129727832,,,
0.079828472,,,
0.11297292,,,
0.478047689,,,
0.398040414,,,
0.39777054,,,
0.330033789,,,
0.331198785,,,
0.28509814,,,
0.552097591,,,
0.436406031,,,
0.381779152,,,
0.344621093,,,
0.363425113,,,
0.31076715,,,
0.27382385,,,
0.25509575,,,
0.247351166,,,
0.215062663,,,
0.13880104,,,
0.091844759,,,
0.152439051,,,
0.135551695,,,
0.503543971,,,
0.508261037,,,
0.460632763,,,
0.316174374,,,
0.445653823,,,
0.436309274,,,
0.359206021,,,
0.309762816,,,
0.206526208,,,
0.252469894,,,
0.317709938,,,
0.195902674,,,
0.214200062,,,
0.156807658,,,
0.417152028,,,
0.449545396,,,
0.494869039,,,
0.504733265,,,
0.403395822,,,
0.324182831,,,
0.392991486,,,
0.411903912,,,
0.463161465,,,
0.252465099,,,
0.25352636,,,
0.264761083,,,
0.247876743,,,
0.200728224,,,
0.260675171,,,
0.144551298,,,
