Name, Coordinates
C00,(43.672545, -79.412068),(43.672545, -79.41029900000001),(43.6719886, -79.412068),(43.6719886, -79.41029900000001)
C01,(43.672545, -79.41029900000001),(43.672545, -79.40853000000001),(43.6719886, -79.41029900000001),(43.6719886, -79.40853000000001)
C02,(43.672545, -79.40853000000001),(43.672545, -79.40676100000002),(43.6719886, -79.40853000000001),(43.6719886, -79.40676100000002)
C03,(43.672545, -79.40676100000002),(43.672545, -79.40499200000002),(43.6719886, -79.40676100000002),(43.6719886, -79.40499200000002)
C04,(43.672545, -79.40499200000002),(43.672545, -79.40322300000003),(43.6719886, -79.40499200000002),(43.6719886, -79.40322300000003)
C10,(43.6719886, -79.412068),(43.6719886, -79.41029900000001),(43.6714322, -79.412068),(43.6714322, -79.41029900000001)
C11,(43.6719886, -79.41029900000001),(43.6719886, -79.40853000000001),(43.6714322, -79.41029900000001),(43.6714322, -79.40853000000001)
C12,(43.6719886, -79.40853000000001),(43.6719886, -79.40676100000002),(43.6714322, -79.40853000000001),(43.6714322, -79.40676100000002)
C13,(43.6719886, -79.40676100000002),(43.6719886, -79.40499200000002),(43.6714322, -79.40676100000002),(43.6714322, -79.40499200000002)
C14,(43.6719886, -79.40499200000002),(43.6719886, -79.40322300000003),(43.6714322, -79.40499200000002),(43.6714322, -79.40322300000003)
C20,(43.6714322, -79.412068),(43.6714322, -79.41029900000001),(43.6708758, -79.412068),(43.6708758, -79.41029900000001)
C21,(43.6714322, -79.41029900000001),(43.6714322, -79.40853000000001),(43.6708758, -79.41029900000001),(43.6708758, -79.40853000000001)
C22,(43.6714322, -79.40853000000001),(43.6714322, -79.40676100000002),(43.6708758, -79.40853000000001),(43.6708758, -79.40676100000002)
C23,(43.6714322, -79.40676100000002),(43.6714322, -79.40499200000002),(43.6708758, -79.40676100000002),(43.6708758, -79.40499200000002)
C24,(43.6714322, -79.40499200000002),(43.6714322, -79.40322300000003),(43.6708758, -79.40499200000002),(43.6708758, -79.40322300000003)
C30,(43.6708758, -79.412068),(43.6708758, -79.41029900000001),(43.6703194, -79.412068),(43.6703194, -79.41029900000001)
C31,(43.6708758, -79.41029900000001),(43.6708758, -79.40853000000001),(43.6703194, -79.41029900000001),(43.6703194, -79.40853000000001)
C32,(43.6708758, -79.40853000000001),(43.6708758, -79.40676100000002),(43.6703194, -79.40853000000001),(43.6703194, -79.40676100000002)
C33,(43.6708758, -79.40676100000002),(43.6708758, -79.40499200000002),(43.6703194, -79.40676100000002),(43.6703194, -79.40499200000002)
C34,(43.6708758, -79.40499200000002),(43.6708758, -79.40322300000003),(43.6703194, -79.40499200000002),(43.6703194, -79.40322300000003)
C40,(43.6703194, -79.412068),(43.6703194, -79.41029900000001),(43.669762999999996, -79.412068),(43.669762999999996, -79.41029900000001)
C41,(43.6703194, -79.41029900000001),(43.6703194, -79.40853000000001),(43.669762999999996, -79.41029900000001),(43.669762999999996, -79.40853000000001)
C42,(43.6703194, -79.40853000000001),(43.6703194, -79.40676100000002),(43.669762999999996, -79.40853000000001),(43.669762999999996, -79.40676100000002)
C43,(43.6703194, -79.40676100000002),(43.6703194, -79.40499200000002),(43.669762999999996, -79.40676100000002),(43.669762999999996, -79.40499200000002)
C44,(43.6703194, -79.40499200000002),(43.6703194, -79.40322300000003),(43.669762999999996, -79.40499200000002),(43.669762999999996, -79.40322300000003)
