p_id,point
ChIJEaJxdLoxK4gR5-qJbZCcx74,POINT(43.7397289 -79.5038337)
ChIJeb8vk6sxK4gRuY-u7Pu4zGs,POINT(43.7315402 -79.511135)
ChIJEX3ULDcxK4gRFEHc_j8iXks,POINT(43.7346477 -79.4839419)
ChIJexCX9gcxK4gRLlZRBWKczI4,POINT(43.7267697 -79.5051254)
ChIJEYD0TpwxK4gRLe3vgu5izDc,POINT(43.7279277 -79.4853593)
ChIJffifuqAxK4gRxEXyHViaOu0,POINT(43.7270213 -79.4977879)
ChIJFRtZ75oxK4gRQkUc4YJpWJM,POINT(43.731082 -79.482646)
ChIJfSX2Ja8xK4gRxOc9Y5lzTD8,POINT(43.7324124 -79.5065167)
ChIJFVkfnZoxK4gRd1aXcsKF7P0,POINT(43.734356 -79.483658)
ChIJfwGg36UxK4gRpaXoivohDoY,POINT(43.731451 -79.5025096)
ChIJg2qVvaExK4gR5vAf6fVMoPY,POINT(43.7295384 -79.4947579)
ChIJg3TGrLMxK4gR_4SFmWhQgfU,POINT(43.7393907 -79.5121808)
ChIJG9npkpoxK4gRzOM3PO8CWUU,POINT(43.7333593 -79.4836389)
ChIJGaPnkpoxK4gRNcZXQ926av8,POINT(43.733633 -79.48343)
ChIJgZG7KYMxK4gRGq0e86t6aWI,POINT(43.7270615 -79.4818135)
ChIJh-QcHQsxK4gR6qQRslO4WL8,POINT(43.726601 -79.483951)
ChIJh4y8HLMxK4gRqId37itBRwA,POINT(43.7396966 -79.514391)
ChIJHegpR5MxK4gRV0mfKjUUIUc,POINT(43.7346488 -79.4839353)
ChIJhQhgg5oxK4gRsWhPlSXl1jI,POINT(43.734219 -79.4838434)
ChIJhR5rN5oxK4gRXFNfHCDkevY,POINT(43.7328715 -79.4861047)
ChIJHXtUL6gxK4gRI0srj6SU5PA,POINT(43.727451 -79.5062652)
ChIJhYLTCKIxK4gR1sD08sJXTd0,POINT(43.731357 -79.493226)
ChIJI0BYmJ0xK4gR9oGA3rBrhO8,POINT(43.7264182 -79.4849666)
ChIJI0BYmJ0xK4gRDtjm6iFTrII,POINT(43.7264252 -79.4849332)
ChIJi4SOnboxK4gRM2_IThj_2w0,POINT(43.7379565 -79.5041021)
ChIJI6-AdJ8xK4gRsI3sMLmf9jo,POINT(43.7283736 -79.4917414)
ChIJibVqppwxK4gRNArL59wJCcI,POINT(43.7294674 -79.4822292)
ChIJieHg8KYxK4gRpKmO05yPmNw,POINT(43.7296903 -79.5008645)
ChIJIRu6oLoxK4gRhCe_tex6lkI,POINT(43.7373228 -79.5040778)
ChIJIU35opwxK4gRYrMsKQBZeLc,POINT(43.732306 -79.483677)
ChIJizY_RakxK4gRvrS0pqZ6ML4,POINT(43.7313329 -79.5089988)
ChIJj1avILMxK4gRw4vJu_b0hE8,POINT(43.7396967 -79.5143904)
ChIJj1A_iQAxK4gR19fbRIPmbRk,POINT(43.7269575 -79.51234)
ChIJj5qi6LoxK4gR8qCQBUdleWY,POINT(43.7376181 -79.5020454)
ChIJjdimuqYxK4gRy5HLxm5lhUo,POINT(43.7305181 -79.4991961)
