id,distance,time,trajectory
47,2.8 km,6 mins,"[(43.73656 -79.49478,43.73661 -79.49471,43.73687 -79.49441,43.73694 -79.49431,43.73703 -79.49423,43.7371 -79.49417,43.73731 -79.49407,43.73747 -79.49401,43.7377 -79.49391,43.73786 -79.49386,43.73803 -79.49383,43.73815 -79.49383,43.73821 -79.49384,43.73828 -79.49386,43.73846 -79.49391,43.73859 -79.49395,43.73876 -79.49402,43.73886 -79.49408,43.7391 -79.49423,43.73929 -79.49438,43.73936 -79.49445,43.73942 -79.49451,43.7395 -79.49458,43.73962 -79.49473,43.73973 -79.49485,43.74005 -79.49525,43.74018 -79.49541,43.74031 -79.49557,43.7404 -79.49567,43.74051 -79.49577,43.7406 -79.49584,43.74073 -79.4959,43.74088 -79.49596,43.74099 -79.49602,43.7411 -79.49606,43.74128 -79.49614,43.74138 -79.49616,43.74146 -79.49618,43.74169 -79.49621,43.74184 -79.49622,43.74201 -79.49626,43.74215 -79.49628,43.74236 -79.49634,43.74252 -79.49639,43.74259 -79.49642,43.74259 -79.49642,43.7427 -79.49594,43.74278 -79.49559,43.74285 -79.49526,43.74292 -79.49496,43.74294 -79.49488,43.74305 -79.49433,43.74308 -79.49421,43.74319 -79.49372,43.743322202173594 -79.4931250932039,43.74337 -79.49291,43.74346 -79.49253,43.74353 -79.4922,43.74362 -79.49178,43.74375072787607 -79.49118446504262,43.7438 -79.49096,43.74387 -79.49067,43.74389 -79.49059,43.74395 -79.49032,43.74402 -79.48999,43.74413 -79.48949,43.74421 -79.48912,43.74424 -79.489,43.74426 -79.48889,43.74435 -79.48853,43.74439 -79.48833,43.7444 -79.48828,43.74443 -79.48816,43.74445 -79.48806,43.74448 -79.48791,43.74455 -79.48756,43.74457 -79.48745,43.74458 -79.48736,43.74461 -79.48718,43.74471902979941 -79.48657614455416,43.74474 -79.48646,43.74474 -79.48646,43.74429690255752 -79.48635404188556,43.74428 -79.48635,43.74407 -79.48629,43.74386 -79.48624,43.74362 -79.48617,43.74344 -79.48612,43.74327 -79.48608,43.74288 -79.48599,43.74254 -79.48591,43.74237 -79.48587,43.74206 -79.48579,43.741616667010206 -79.48568595151549,43.74117333402041 -79.48558190380146,43.74108 -79.48556,43.74099 -79.48553,43.74061 -79.48544,43.74025 -79.48535,43.73993 -79.48528,43.73956 -79.48519,43.73929 -79.48512,43.73916 -79.48509,43.73907 -79.48507,43.73862699054223 -79.4849633493996,43.73853 -79.48494,43.7383 -79.48488,43.7379 -79.48479,43.73745690402469 -79.48468404223641,43.73744 -79.48468,43.73719 -79.48461,43.737 -79.48457,43.737 -79.48457,43.73692 -79.48455,43.73693 -79.48444,43.73693 -79.48415,43.73693 -79.48387,43.73692 -79.48362,43.7369 -79.48346,43.73688 -79.48332,43.73685 -79.48317,43.73682 -79.48303,43.73678 -79.48292,43.73675 -79.48284,43.73673 -79.48277,43.73665 -79.48258,43.73654 -79.48231,43.73648 -79.48217,43.7364 -79.48197,43.73635 -79.48181,43.73631 -79.48169,43.73629 -79.48159,43.73626 -79.48151,43.73624 -79.48141,43.73621 -79.48123)]"
48,1.4 km,3 mins,"[(43.72895 -79.51275,43.729072622416275 -79.51215131750614,43.72912 -79.51192,43.72914 -79.51184,43.72915 -79.51177,43.72916 -79.51171,43.72917 -79.51165,43.72918 -79.51153,43.72922 -79.51127,43.72926 -79.51092,43.72927 -79.51086,43.72929 -79.51076,43.72929 -79.51076,43.72932 -79.51061,43.72966 -79.51069,43.72994 -79.51076,43.73012 -79.51081,43.73016 -79.51082,43.73060347835269 -79.51092283513083,43.73085 -79.51098,43.7312 -79.51106,43.7314 -79.5111,43.73168 -79.51117,43.73183 -79.5112,43.73211 -79.51127,43.73231 -79.51131,43.7325 -79.51136,43.7327 -79.51142,43.73281 -79.51144,43.73303 -79.5115,43.73347414691958 -79.51159715681695,43.73367 -79.51164,43.73401 -79.51171,43.73413 -79.51174,43.7344 -79.5118,43.73459 -79.51185,43.73459 -79.51185,43.73468 -79.51147,43.73480890960052 -79.51087379513558,43.73484 -79.51073,43.73497471648846 -79.5101362576938,43.73510943297692 -79.50954251405189,43.73511 -79.50954,43.735241550244574 -79.50894489669516,43.73532 -79.50859,43.73534 -79.50849,43.73534 -79.50849,43.73544 -79.50852,43.73556 -79.50855,43.73587 -79.50863,43.73631129103178 -79.50874951624236,43.73635 -79.50876,43.73659 -79.50882,43.73668 -79.50884,43.73674 -79.50886,43.7368 -79.50888,43.73698 -79.50893,43.73716 -79.50898,43.73751 -79.50907,43.73751 -79.50907,43.737647944343024 -79.50847765260569,43.73768 -79.50834)]"
49,1.7 km,4 mins,"[(43.73241 -79.50376,43.73278 -79.50392,43.7328 -79.50393,43.73285 -79.50395,43.73298 -79.50401,43.73309 -79.50405,43.73312 -79.50407,43.73316 -79.50408,43.7332 -79.50409,43.73325 -79.5041,43.73335 -79.50413,43.73345 -79.50415,43.73354 -79.50417,43.73358 -79.50418,43.7336 -79.50419,43.73363 -79.50421,43.73365 -79.50424,43.73367 -79.50427,43.73369 -79.5043,43.73371 -79.50435,43.73372 -79.50439,43.73372 -79.50442,43.73373 -79.50449,43.7337747638231 -79.50510922485847,43.73379 -79.50532,43.73379 -79.50537,43.73379 -79.5054,43.73379 -79.50543,43.73379 -79.50547,43.73379 -79.5055,43.73378 -79.50553,43.73377 -79.50557,43.73376 -79.50561,43.73359 -79.50612,43.73340164014557 -79.50668508277556,43.7333 -79.50699,43.73311102754118 -79.50755468815099,43.732922055082376 -79.50811937452012,43.73273308262358 -79.50868405910742,43.732544110164795 -79.50924874191291,43.73246 -79.5095,43.73241 -79.50965,43.73236 -79.50976,43.7323 -79.50989,43.73226 -79.50995,43.7322 -79.51001,43.73213 -79.5101,43.73204 -79.51024,43.73197 -79.51038,43.73195 -79.51043,43.73194 -79.51049,43.7319 -79.51063,43.73188 -79.51081,43.73185 -79.51107,43.73182 -79.51119,43.73182 -79.5112,43.73183 -79.5112,43.73183 -79.5112,43.73211 -79.51127,43.73231 -79.51131,43.7325 -79.51136,43.7327 -79.51142,43.73281 -79.51144,43.73303 -79.5115,43.73347414691958 -79.51159715681695,43.73367 -79.51164,43.73401 -79.51171,43.73413 -79.51174,43.7344 -79.5118,43.73459 -79.51185,43.73459 -79.51185,43.73468 -79.51147,43.73480890960052 -79.51087379513558,43.73484 -79.51073,43.73497471648846 -79.5101362576938,43.73510943297692 -79.50954251405189,43.73511 -79.50954,43.735241550244574 -79.50894489669516,43.73532 -79.50859,43.73534 -79.50849,43.73534 -79.50849,43.73544 -79.50852,43.73556 -79.50855,43.73587 -79.50863,43.73631129103178 -79.50874951624236,43.73635 -79.50876,43.73659 -79.50882,43.73668 -79.50884,43.73674 -79.50886,43.7368 -79.50888,43.73698 -79.50893,43.73716 -79.50898,43.73751 -79.50907,43.73751 -79.50907,43.7376428330126 -79.50847541890775,43.73772 -79.50813)]"
50,1.6 km,4 mins,"[(43.72949 -79.48893,43.729626235906245 -79.48833697510214,43.72966 -79.48819,43.72978890072411 -79.48759384143266,43.7299 -79.48708,43.72997 -79.48679,43.73010525808082 -79.48619654184877,43.73024051616163 -79.48560308235731,43.730375774242425 -79.48500962152563,43.73046 -79.48464,43.73049 -79.48451,43.7305 -79.48449,43.7305 -79.48448,43.73051 -79.48447,43.73051 -79.48446,43.73052 -79.48446,43.73054 -79.48445,43.73055 -79.48445,43.73056 -79.48445,43.73057 -79.48445,43.73058 -79.48445,43.73065 -79.48447,43.73087 -79.48455,43.73087 -79.48455,43.73098811810508 -79.48394956644533,43.73099 -79.48394,43.73111262628224 -79.48334129863095,43.73116 -79.48311,43.73116 -79.48311,43.731603117453446 -79.48321577444034,43.73204623490689 -79.4833215496633,43.73248935236034 -79.48342732566888,43.73271 -79.48348,43.73289 -79.48352,43.73314 -79.48358,43.73358 -79.4837,43.73395 -79.48378,43.73407 -79.48381,43.73436 -79.48388,43.73465 -79.48394,43.73505 -79.48404,43.73549319410207 -79.48414516444058,43.73564 -79.48418,43.73608222312795 -79.48429272341266,43.73615 -79.48431,43.73625 -79.48433,43.73628 -79.48431,43.7363 -79.4843,43.73631 -79.48429,43.73633 -79.48429,43.73657 -79.48435,43.73693 -79.48444,43.73693 -79.48444,43.73701 -79.48446,43.737 -79.48457,43.73693 -79.48473,43.73689 -79.48507,43.73680981140706 -79.48568237244784,43.736729622814124 -79.48629474407562,43.73667 -79.48675,43.73665 -79.48695,43.73663 -79.48705,43.73659 -79.48721,43.73645587010873 -79.48780401265886,43.736321740217456 -79.48839802398714,43.73631 -79.48845,43.73628 -79.48859,43.73626 -79.4887,43.73624 -79.48878,43.73623 -79.48886,43.73623 -79.48895,43.73622 -79.48903,43.73623 -79.48911,43.73623 -79.4892,43.73625 -79.48928,43.73627 -79.48937,43.7363 -79.48946,43.73633 -79.48956)]"
51,1.4 km,3 mins,"[(43.7329 -79.50153,43.73283 -79.50125,43.73279 -79.50105,43.73274 -79.50076,43.73271 -79.5006,43.73267 -79.50054,43.73263 -79.50048,43.73258 -79.50044,43.73254 -79.50042,43.73248 -79.50041,43.73239 -79.50039,43.73214 -79.50035,43.73214 -79.50035,43.73220337228451 -79.49973391137313,43.73226674456901 -79.49911782209433,43.73232 -79.4986,43.73232 -79.49857,43.73235 -79.49827,43.73238 -79.49798,43.73239 -79.4979,43.73239 -79.49782,43.73239 -79.49776,43.73239 -79.49772,43.73238 -79.49765,43.73236 -79.49754,43.73233 -79.49737,43.7323 -79.49722,43.73227 -79.49707,43.73223 -79.49686,43.73221 -79.49671,43.73217 -79.49652,43.73214 -79.49639,43.73211 -79.4962,43.73208 -79.49608,43.73207 -79.49601,43.73205 -79.49595,43.73202 -79.4959,43.732 -79.49587,43.73197 -79.49583,43.73194 -79.4958,43.7319 -79.49577,43.73186 -79.49575,43.73174 -79.49569,43.73174 -79.49569,43.73171 -79.49581,43.73168 -79.49595,43.731546317738974 -79.49654415720572,43.73141263547796 -79.49713831308522,43.73132 -79.49755,43.73123 -79.49797,43.73121 -79.49805,43.73107919914611 -79.49864537954647,43.73094839829221 -79.49924075779266,43.73092 -79.49937,43.73092 -79.49937,43.730490465038585 -79.4991859127168,43.73022 -79.49907,43.73012 -79.49902,43.72968959899226 -79.4988398307849,43.72926 -79.49866,43.72916 -79.49861,43.72907 -79.49857,43.72884 -79.49848,43.72856 -79.49836,43.72845 -79.49833,43.7284 -79.4983,43.72831 -79.49827,43.72787547514054 -79.49810991099316,43.72755 -79.49799,43.72743 -79.49794,43.72743 -79.49794,43.727296236470806 -79.49853408001778,43.72716247294162 -79.4991281587089,43.72709 -79.49945)]"
52,2.1 km,5 mins,"[(43.73868 -79.48967,43.73871 -79.48951,43.73872 -79.48946,43.73872 -79.48944,43.73872 -79.48942,43.73871 -79.4894,43.7387 -79.48938,43.73869 -79.48937,43.73868 -79.48935,43.73867 -79.48934,43.73865 -79.48933,43.73859 -79.4893,43.73816065327999 -79.48911504992911,43.73794 -79.48902,43.73794 -79.48902,43.738070534088145 -79.48842444010835,43.7381 -79.48829,43.73811 -79.48823,43.73812 -79.48817,43.73812 -79.48812,43.73811 -79.48807,43.7381 -79.48802,43.73809 -79.48797,43.73807 -79.48793,43.73804 -79.48789,43.73770294762912 -79.48747804516158,43.7375 -79.48723,43.73747 -79.48719,43.73743 -79.48715,43.73741 -79.48714,43.73739 -79.48713,43.73736 -79.48712,43.73734 -79.48711,43.73689652038618 -79.4870071637182,43.73665 -79.48695,43.736206534020326 -79.48684705233727,43.73609 -79.48682,43.73564750040764 -79.48670937428048,43.73521 -79.4866,43.734767500727024 -79.48648937345918,43.73432500145403 -79.48637874773581,43.733882502181054 -79.48626812282987,43.73385 -79.48626,43.73385 -79.48626,43.73382 -79.48639,43.733685409122096 -79.48698378541978,43.73365 -79.48714,43.7336 -79.48732,43.73354 -79.4876,43.733407239351315 -79.4881945713137,43.733274478702626 -79.48878914130933,43.73314171805396 -79.48938370998688,43.733008957405296 -79.48997827734637,43.732876196756635 -79.49057284338781,43.73285 -79.49069,43.73279 -79.49099,43.73265682372601 -79.49158438581048,43.732523647452034 -79.4921787702992,43.732390471178064 -79.49277315346617,43.7322572949041 -79.4933675353114,43.73225 -79.4934,43.73211756195124 -79.49399469628948,43.731985123902504 -79.49458939126386,43.73185268585377 -79.49518408492315,43.73174 -79.49569,43.73171 -79.49581,43.73168 -79.49595,43.731546317738974 -79.49654415720572,43.73141263547796 -79.49713831308522,43.73132 -79.49755,43.73123 -79.49797,43.73121 -79.49805,43.73107919914611 -79.49864537954647,43.73094839829221 -79.49924075779266,43.73092 -79.49937,43.73092 -79.49937,43.730490465038585 -79.4991859127168,43.73022 -79.49907,43.73012 -79.49902,43.72968959899226 -79.4988398307849,43.72926 -79.49866,43.72916 -79.49861,43.72907 -79.49857,43.72884 -79.49848,43.72856 -79.49836,43.72847 -79.49833)]"
53,2.1 km,5 mins,"[(43.73873 -79.50564,43.73857 -79.50557,43.73831 -79.50546,43.73831 -79.50546,43.73844492974001 -79.50486631605028,43.73856 -79.50436,43.73856 -79.50436,43.738990573655116 -79.50453940403142,43.73942114731024 -79.50471880935298,43.73952 -79.50476,43.73952 -79.50476,43.7396516144355 -79.5041648800533,43.73975 -79.50372,43.73989 -79.50313,43.73993 -79.50291,43.73993 -79.50291,43.74003 -79.50294,43.74007 -79.50296,43.74013 -79.50299,43.74028 -79.50305,43.74048 -79.50313,43.74071 -79.50323,43.74095 -79.50333,43.74105 -79.50337,43.74105 -79.50337,43.74115 -79.5029,43.74128681970813 -79.50230711712132,43.74133 -79.50212,43.74145846717679 -79.50152354601187,43.74147 -79.50147,43.74160389632302 -79.50087583665699,43.74163 -79.50076,43.74176614127596 -79.50016681323956,43.74177 -79.50015,43.74190397257242 -79.4995558666101,43.742 -79.49913,43.74207 -79.49879,43.74220518027108 -79.49819638795951,43.7423 -79.49778,43.74243299412011 -79.49718544033573,43.74247 -79.49702,43.74258996928665 -79.49642015356909,43.74259 -79.49642,43.74259 -79.49642,43.74252 -79.49639,43.74236 -79.49634,43.74215 -79.49628,43.74201 -79.49626,43.74184 -79.49622,43.74169 -79.49621,43.74146 -79.49618,43.74138 -79.49616,43.74128 -79.49614,43.7411 -79.49606,43.74099 -79.49602,43.74088 -79.49596,43.74073 -79.4959,43.7406 -79.49584,43.74051 -79.49577,43.7404 -79.49567,43.74031 -79.49557,43.74018 -79.49541,43.74005 -79.49525,43.73973 -79.49485,43.73962 -79.49473,43.7395 -79.49458,43.73942 -79.49451,43.73936 -79.49445,43.73929 -79.49438,43.7391 -79.49423,43.73886 -79.49408,43.73876 -79.49402,43.73859 -79.49395,43.73846 -79.49391,43.73828 -79.49386,43.73821 -79.49384,43.73815 -79.49383,43.73803 -79.49383,43.73786 -79.49386,43.7377 -79.49391,43.73747 -79.49401,43.73731 -79.49407,43.7371 -79.49417,43.73703 -79.49423,43.73694 -79.49431,43.73687 -79.49441,43.73661 -79.49471,43.73645 -79.49492,43.73636 -79.49507,43.7362 -79.49536,43.73608 -79.49561,43.73602 -79.49573,43.73596 -79.49583,43.7359 -79.49592,43.73582 -79.49601,43.73567 -79.49618,43.73567 -79.49618,43.73559 -79.49622,43.73553 -79.49623,43.73549 -79.49625,43.73546 -79.49626,43.73542 -79.49629,43.73539 -79.49631,43.73537 -79.49633,43.73535 -79.49638,43.73534 -79.49646,43.73534 -79.49654,43.73535 -79.49676,43.73537 -79.49692,43.7354 -79.49706)]"
54,3.3 km,7 mins,"[(43.7385 -79.50089,43.73851 -79.50086,43.73852 -79.50082,43.73862 -79.50039,43.73864 -79.50028,43.73864 -79.50028,43.73871 -79.5003,43.73906 -79.50045,43.73915 -79.50048,43.73923 -79.50052,43.73945 -79.50061,43.73988019585415 -79.50079113465395,43.74002 -79.50085,43.74012 -79.5009,43.74055028754407 -79.50108071896967,43.74098057508812 -79.50126143923816,43.74112 -79.50132,43.74114 -79.50133,43.74121 -79.50136,43.74132 -79.5014,43.74147 -79.50147,43.74147 -79.50147,43.74160389632302 -79.50087583665699,43.74163 -79.50076,43.74176614127596 -79.50016681323956,43.74177 -79.50015,43.74190397257242 -79.4995558666101,43.742 -79.49913,43.74207 -79.49879,43.74220518027108 -79.49819638795951,43.7423 -79.49778,43.74243299412011 -79.49718544033573,43.74247 -79.49702,43.74258996928665 -79.49642015356909,43.74259 -79.49642,43.7427 -79.49594,43.74278 -79.49559,43.74285 -79.49526,43.74292 -79.49496,43.74294 -79.49488,43.74305 -79.49433,43.74308 -79.49421,43.74319 -79.49372,43.743322202173594 -79.4931250932039,43.74337 -79.49291,43.74346 -79.49253,43.74353 -79.4922,43.74362 -79.49178,43.74375072787607 -79.49118446504262,43.7438 -79.49096,43.74387 -79.49067,43.74389 -79.49059,43.74395 -79.49032,43.74402 -79.48999,43.74413 -79.48949,43.74421 -79.48912,43.74424 -79.489,43.74426 -79.48889,43.74435 -79.48853,43.74439 -79.48833,43.7444 -79.48828,43.74443 -79.48816,43.74445 -79.48806,43.74448 -79.48791,43.74455 -79.48756,43.74457 -79.48745,43.74458 -79.48736,43.74461 -79.48718,43.74471902979941 -79.48657614455416,43.74474 -79.48646,43.74474 -79.48646,43.74429690255752 -79.48635404188556,43.74428 -79.48635,43.74407 -79.48629,43.74386 -79.48624,43.74362 -79.48617,43.74344 -79.48612,43.74327 -79.48608,43.74288 -79.48599,43.74254 -79.48591,43.74237 -79.48587,43.74206 -79.48579,43.741616667010206 -79.48568595151549,43.74117333402041 -79.48558190380146,43.74108 -79.48556,43.74099 -79.48553,43.74061 -79.48544,43.74025 -79.48535,43.73993 -79.48528,43.73956 -79.48519,43.73929 -79.48512,43.73916 -79.48509,43.73907 -79.48507,43.73862699054223 -79.4849633493996,43.73853 -79.48494,43.7383 -79.48488,43.7379 -79.48479,43.73745690402469 -79.48468404223641,43.73744 -79.48468,43.73719 -79.48461,43.737 -79.48457,43.737 -79.48457,43.73693 -79.48473,43.73689 -79.48507,43.73680981140706 -79.48568237244784,43.736729622814124 -79.48629474407562,43.73667 -79.48675,43.73665 -79.48695,43.73663 -79.48705,43.73659 -79.48721,43.73645587010873 -79.48780401265886,43.736321740217456 -79.48839802398714,43.73631 -79.48845,43.73628 -79.48859,43.73626 -79.4887,43.73624 -79.48878,43.73623 -79.48886,43.73623 -79.48895,43.73622 -79.48903,43.73623 -79.48911,43.73623 -79.4892,43.73625 -79.48928,43.73627 -79.48937,43.7363 -79.48946,43.73633 -79.48956,43.73638 -79.48964,43.7364 -79.48968,43.73645 -79.48976,43.73653 -79.48986,43.73667 -79.49003,43.737014883496975 -79.49042933846982,43.73705 -79.49047,43.73714 -79.49056,43.73723 -79.49065,43.73737 -79.49074,43.73747 -79.49077,43.7376 -79.4908,43.73768 -79.4908,43.73778 -79.4908,43.73789 -79.49078,43.73798 -79.49074,43.73813 -79.49068,43.73813 -79.49068,43.73814 -79.49076,43.73821 -79.49104,43.73824 -79.49116,43.7383 -79.49134,43.73849925828098 -79.49189792316568,43.7385 -79.4919,43.73871 -79.49237,43.73881 -79.49263)]"
55,2.1 km,5 mins,"[(43.73646 -79.49491,43.73661 -79.49471,43.73687 -79.49441,43.73694 -79.49431,43.73703 -79.49423,43.7371 -79.49417,43.73731 -79.49407,43.73747 -79.49401,43.7377 -79.49391,43.73786 -79.49386,43.73803 -79.49383,43.73815 -79.49383,43.73821 -79.49384,43.73828 -79.49386,43.73846 -79.49391,43.73859 -79.49395,43.73876 -79.49402,43.73886 -79.49408,43.7391 -79.49423,43.73929 -79.49438,43.73936 -79.49445,43.73942 -79.49451,43.7395 -79.49458,43.73962 -79.49473,43.73973 -79.49485,43.74005 -79.49525,43.74018 -79.49541,43.74031 -79.49557,43.7404 -79.49567,43.74051 -79.49577,43.7406 -79.49584,43.74073 -79.4959,43.74088 -79.49596,43.74099 -79.49602,43.7411 -79.49606,43.74128 -79.49614,43.74138 -79.49616,43.74146 -79.49618,43.74169 -79.49621,43.74184 -79.49622,43.74201 -79.49626,43.74215 -79.49628,43.74236 -79.49634,43.74252 -79.49639,43.74259 -79.49642,43.74259 -79.49642,43.74267 -79.49647,43.742535855951196 -79.4970640668574,43.74253 -79.49709,43.74249 -79.49728,43.74235826331859 -79.49787509633889,43.7422265266372 -79.4984701913683,43.7422 -79.49859,43.74208 -79.49913,43.74194695949772 -79.49972453627707,43.74181391899544 -79.50031907123298,43.74176 -79.50056,43.74171 -79.50081,43.74157258084864 -79.5014026213986,43.74155 -79.5015,43.741421532944 -79.50209645494988,43.74141 -79.50215,43.74127318109317 -79.50274288445279,43.74123 -79.50293,43.74113 -79.5034,43.74113 -79.5034,43.74105 -79.50337,43.74095 -79.50333,43.74071 -79.50323,43.74048 -79.50313,43.74028 -79.50305,43.74013 -79.50299,43.74007 -79.50296,43.74003 -79.50294,43.73993 -79.50291,43.73983 -79.50287,43.73967 -79.5028,43.73923997992148 -79.50261806814213,43.73915 -79.50258,43.73897 -79.5025,43.7389 -79.50247,43.7388 -79.50243,43.73841 -79.50226,43.73805 -79.50211,43.73802 -79.5021,43.73799 -79.50208,43.73797 -79.50207,43.73792 -79.50203,43.73792 -79.50203,43.73786 -79.50213,43.73783 -79.50222,43.73781 -79.50228,43.73768 -79.50272,43.73754 -79.5032,43.73753 -79.50325,43.73752 -79.50331,43.73749 -79.50342,43.73741 -79.50371,43.73738 -79.50386,43.73735 -79.50396,43.73728 -79.50425,43.73727 -79.5043,43.73725 -79.50437,43.7372 -79.50458,43.73719 -79.50462,43.73716 -79.5047,43.73713 -79.50476,43.73711 -79.50479,43.73708 -79.50484,43.73703 -79.5049,43.73670104740715 -79.50532430483983,43.736372094814314 -79.50574860734874,43.73634 -79.50579)]"
56,3.5 km,7 mins,"[(43.73811 -79.48823,43.73812 -79.48817,43.73812 -79.48812,43.73811 -79.48807,43.7381 -79.48802,43.73809 -79.48797,43.73807 -79.48793,43.73804 -79.48789,43.73770294762912 -79.48747804516158,43.7375 -79.48723,43.73747 -79.48719,43.73743 -79.48715,43.73741 -79.48714,43.73739 -79.48713,43.73736 -79.48712,43.73734 -79.48711,43.73689652038618 -79.4870071637182,43.73665 -79.48695,43.736206534020326 -79.48684705233727,43.73609 -79.48682,43.73564750040764 -79.48670937428048,43.73521 -79.4866,43.734767500727024 -79.48648937345918,43.73432500145403 -79.48637874773581,43.733882502181054 -79.48626812282987,43.73385 -79.48626,43.73385 -79.48626,43.73382 -79.48639,43.733685409122096 -79.48698378541978,43.73365 -79.48714,43.7336 -79.48732,43.73354 -79.4876,43.733407239351315 -79.4881945713137,43.733274478702626 -79.48878914130933,43.73314171805396 -79.48938370998688,43.733008957405296 -79.48997827734637,43.732876196756635 -79.49057284338781,43.73285 -79.49069,43.73279 -79.49099,43.73265682372601 -79.49158438581048,43.732523647452034 -79.4921787702992,43.732390471178064 -79.49277315346617,43.7322572949041 -79.4933675353114,43.73225 -79.4934,43.73211756195124 -79.49399469628948,43.731985123902504 -79.49458939126386,43.73185268585377 -79.49518408492315,43.73174 -79.49569,43.73174 -79.49569,43.73186 -79.49575,43.7319 -79.49577,43.73194 -79.4958,43.73197 -79.49583,43.732 -79.49587,43.73202 -79.4959,43.73205 -79.49595,43.73207 -79.49601,43.73208 -79.49608,43.73211 -79.4962,43.73214 -79.49639,43.73217 -79.49652,43.73221 -79.49671,43.73223 -79.49686,43.73227 -79.49707,43.7323 -79.49722,43.73233 -79.49737,43.73236 -79.49754,43.73238 -79.49765,43.73239 -79.49772,43.73239 -79.49776,43.73239 -79.49782,43.73239 -79.4979,43.73238 -79.49798,43.73235 -79.49827,43.73232 -79.49857,43.73232 -79.4986,43.73225663380589 -79.49921609102647,43.73219326761177 -79.49983218140108,43.73214 -79.50035,43.73211 -79.50065,43.7321 -79.50079,43.73209 -79.50083,43.73209 -79.50086,43.73208 -79.5009,43.73206 -79.50094,43.73204 -79.501,43.73194 -79.50121,43.73185 -79.50143,43.73169 -79.50179,43.73163 -79.50192,43.73159 -79.50202,43.73156 -79.5021,43.73153 -79.50216,43.73152 -79.50223,43.73149 -79.50233,43.73145 -79.5025,43.73142 -79.50265,43.73139 -79.50278,43.73133 -79.50301,43.73128 -79.50327,43.73114 -79.50385,43.73102 -79.50436,43.73088929883066 -79.50495541958355,43.73084 -79.50518,43.73070286579515 -79.50577264025524,43.73056573159031 -79.50636527915354,43.73042859738548 -79.5069579166949,43.73029146318065 -79.50755055287932,43.73028 -79.5076,43.73014903498471 -79.50819530118248,43.73006 -79.5086,43.73001 -79.5088,43.72998 -79.50893,43.72994 -79.50906,43.72989 -79.50919,43.7297 -79.50956,43.72961 -79.50971,43.72953 -79.50986,43.72948 -79.50998,43.72944 -79.51008,43.72944 -79.51009,43.72941 -79.51016,43.72939 -79.51025,43.72936 -79.51038,43.72934 -79.51048,43.72932 -79.51061,43.72932 -79.51061,43.72966 -79.51069,43.72994 -79.51076,43.73012 -79.51081,43.73016 -79.51082,43.73060347835269 -79.51092283513083,43.73085 -79.51098,43.7312 -79.51106,43.7314 -79.5111,43.73168 -79.51117,43.73183 -79.5112,43.73211 -79.51127,43.73231 -79.51131,43.7325 -79.51136,43.7327 -79.51142,43.73281 -79.51144,43.73303 -79.5115,43.73347414691958 -79.51159715681695,43.73367 -79.51164,43.73401 -79.51171,43.73413 -79.51174,43.7344 -79.5118,43.73459 -79.51185,43.73459 -79.51185,43.73468 -79.51147,43.73480890960052 -79.51087379513558,43.73484 -79.51073,43.73497471648846 -79.5101362576938,43.73510943297692 -79.50954251405189,43.73511 -79.50954,43.73511 -79.50954,43.73527 -79.50961,43.73532 -79.50962,43.73537 -79.50964,43.73581222306254 -79.509752723396,43.73588 -79.50977)]"
57,1.2 km,3 mins,"[(43.72661 -79.49766,43.7266 -79.4977,43.7266 -79.4977,43.7267 -79.4977,43.72676 -79.4977,43.72681 -79.49771,43.72685 -79.49773,43.72689 -79.49774,43.72732437210352 -79.497900878263,43.72743 -79.49794,43.72755 -79.49799,43.727984525026805 -79.49815008726706,43.72831 -79.49827,43.7284 -79.4983,43.72845 -79.49833,43.72856 -79.49836,43.72884 -79.49848,43.72907 -79.49857,43.72916 -79.49861,43.72926 -79.49866,43.729690401290206 -79.49884016663056,43.73012 -79.49902,43.73012 -79.49902,43.73025134407881 -79.4984248590665,43.73038268815761 -79.49782971682788,43.73044 -79.49757,43.73052 -79.49721,43.73065217611381 -79.49661520797636,43.73066 -79.49658,43.730790703129536 -79.49598458352011,43.730921406259064 -79.49538916574083,43.73093 -79.49535,43.73106481073163 -79.49475633742821,43.73119962146324 -79.49416267352014,43.731334432194856 -79.49356900827577,43.73145 -79.49306,43.731579546931506 -79.49246409193441,43.7317 -79.49191,43.7317 -79.49191,43.7315 -79.49182,43.73106998493536 -79.49163807026346,43.73098 -79.4916,43.73087 -79.49156,43.73083 -79.49154,43.73081 -79.49152,43.73079 -79.4915,43.73078 -79.49148,43.73078 -79.49145,43.73077 -79.49143,43.73077 -79.4914,43.73077 -79.49137,43.73078 -79.49131,43.7309163225897 -79.49071700047999,43.73098 -79.49044,43.73108 -79.49)]"
